#,Player,Game Id,Home/Away,Win,Loss,OTW,OTL,SOW,SOL,Minutes,Shots,Rebounds,Goals Against,Save %,SO Attempts,SO Goals Against
70,Matt Onuska,20240914-Laurier,Away,1,0,0,0,0,0,60,,,1,,0,0
70,Matt Onuska,20240920-SMU,Away,0,0,1,0,0,0,66,41,23,3,0.927,0,0
49,Daniel Murphy,20240921-Dalhousie,Away,1,0,0,0,0,0,60,34,14,2,0.941,0,0
49,Daniel Murphy,20240928-Nipissing,Home,1,0,0,0,0,0,30,23,14,1,0.957,0,0
70,Matt Onuska,20240928-Nipissing,Home,0,0,0,0,0,0,30,24,16,0,1.000,0,0
49,Daniel Murphy,20241003-Brock,Home,0,1,0,0,0,0,60,33,22,5,0.848,0,0
70,Matt Onuska,20241005-Western,Home,1,0,0,0,0,0,60,40,28,1,0.975,0,0
70,Matt Onuska,20241011-UQTR,Away,0,0,0,0,0,1,66,41,27,4,0.902,3,1
49,Daniel Murphy,20241017-Guelph,Away,0,1,0,0,0,0,60,31,17,3,0.903,0,0
70,Matt Onuska,20241019-Guelph,Home,0,1,0,0,0,0,60,40,23,4,0.900,0,0
49,Daniel Murphy,20241024-Laurier,Away,0,0,1,0,0,0,66,43,22,5,0.884,0,0
70,Matt Onuska,20241025-Brock,Away,1,0,0,0,0,0,60,53,34,3,0.943,0,0
70,Matt Onuska,20241030-Toronto,Home,1,0,0,0,0,0,60,37,16,4,0.892,0,0
49,Daniel Murphy,20241102-TMU,Home,0,1,0,0,0,0,60,47,29,5,0.894,0,0
70,Matt Onuska,20241108-Windsor,Away,0,1,0,0,0,0,60,39,24,3,0.923,0,0
70,Matt Onuska,20241109-Western,Away,0,1,0,0,0,0,60,43,24,4,0.907,0,0
49,Daniel Murphy,20241115-McGill,Home,0,0,0,1,0,0,66,48,23,4,0.917,0,0
70,Matt Onuska,20241123-Ottawa,Home,0,0,0,1,0,0,66,45,32,3,0.933,0,0
49,Daniel Murphy,20241129-RMC,Away,0,0,1,0,0,0,66,41,25,1,0.976,0,0
70,Matt Onuska,20241130-Queens,Away,0,1,0,0,0,0,60,35,22,3,0.914,0,0
70,Matt Onuska,20241205-Laurier,Home,1,0,0,0,0,0,60,37,30,3,0.919,0,0
